"parameter","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"theta_pred[26]",1.88155239198982,0.00217170649629395,0.214894693202991,1.47159797019777,1.73553785458074,1.88015156481414,2.02327786479765,2.30698984372454,9791.49757330671,1.00020561605663
"theta_pred[27]",1.87800224421381,0.00217175728885485,0.21615010800382,1.46495953828506,1.73100509116953,1.87688593124592,2.02052450847427,2.30921696502397,9905.77224079933,1.00018758667421
"theta_pred[28]",1.87445209643779,0.00217371078013383,0.217528353095843,1.457654333971,1.7257892896422,1.87348545431851,2.01793340457021,2.30726295075877,10014.4758889481,1.00016966642938
"theta_pred[29]",1.87090194866178,0.00217756187029165,0.219027109733904,1.45189661766692,1.72142591576813,1.86974066752252,2.01505087987287,2.30619853298617,10117.0696051756,1.00015191465536
"theta_pred[30]",1.86735180088577,0.00218330053973901,0.220643922153901,1.44562331288834,1.71642583727212,1.86594308459741,2.0125880960918,2.30520824375392,10213.0837563003,1.0001343864536
"theta_pred[31]",1.86380165310975,0.00219091197850156,0.222376215355413,1.43925205557228,1.7116855741303,1.8628270248872,2.01050337418342,2.30429120248014,10302.1248726299,1.00011713234362
"theta_pred[32]",1.86025150533374,0.00220037677477578,0.224221312803687,1.43179499356466,1.70620285718591,1.85863581610218,2.0081932492246,2.30276368663703,10383.8804030567,1.00010019801877
"theta_pred[33]",1.85670135755773,0.0022116711571562,0.226176453819339,1.42530130941897,1.70232450453368,1.85552353637166,2.00734379123655,2.30282275276477,10458.1212484582,1.00008362420328
"theta_pred[34]",1.85315120978172,0.00222476728364483,0.228238810451784,1.41723249406069,1.69740257272193,1.85139519776414,2.00571017047761,2.30417802168023,10524.7020889963,1.0000674466034
"theta_pred[35]",1.8496010620057,0.00223963356952809,0.230405503662283,1.41060182501231,1.69359843343168,1.84723869254815,2.00273405989032,2.30461442698509,10583.5596218088,1.00005169594343
"theta_pred[36]",1.84605091422969,0.00225623504555551,0.232673618673383,1.40255233770124,1.68802646873042,1.84357869822986,2.0010747256946,2.30545312091051,10634.7089122774,1.00003639807631
"theta_pred[37]",1.84250076645368,0.00227453373758305,0.235040219372205,1.39408804385681,1.68251035255376,1.84043999276948,1.99925863958379,2.30690790380461,10678.2381295342,1.00002157415738
"theta_pred[38]",1.83895061867766,0.00229448905893304,0.237502361684622,1.3844702297372,1.67778338379368,1.83790320055038,1.99738750610041,2.30872055166681,10714.3019823522,1.00000724086992
"theta_pred[39]",1.83540047090165,0.00231605820713051,0.240057105865007,1.37588075640777,1.67299177791692,1.83401856130269,1.99554280904117,2.30991275298373,10743.1141944429,0.999993410691223
"theta_pred[40]",1.83185032312564,0.00233919655734859,0.242701527671468,1.36594459354444,1.66771684468766,1.83073946468543,1.99403811879264,2.30996924161304,10764.9393598021,0.999980092188476
"theta_pred[41]",1.82830017534962,0.00236385804576907,0.245432728418841,1.35560790855985,1.66230358127404,1.82699020789264,1.99252458039667,2.31097224192845,10780.0845020075,0.999967290334547
"theta_pred[42]",1.82475002757361,0.00238999553707099,0.24824784392103,1.34782607329007,1.65756092279786,1.82328914795752,1.99139042072729,2.31177848456144,10788.8906301498,0.999955006834904
"theta_pred[43]",1.8211998797976,0.00241756117133685,0.251144052350508,1.33850955165916,1.65194217542424,1.82008415287486,1.99004347996862,2.31318100140855,10791.7245427313,0.999943240457857
"theta_pred[44]",1.81764973202159,0.00244650668675334,0.254118581055973,1.32695634540274,1.64645598282186,1.81632338020347,1.98863180771027,2.31414401938812,10788.971083713,0.999931987361616
"theta_pred[45]",1.81409958424557,0.00247678371553411,0.257168712389431,1.31703147506989,1.64069034444254,1.81257650395504,1.98719475168706,2.31755005587584,10781.0260058458,0.999921241412728
"theta_pred[46]",1.81054943646956,0.00250826349934779,0.260291788601651,1.30801908887904,1.63514952004307,1.80947542559219,1.98524893738981,2.31989024966001,10768.9812005426,0.999910994491612
"theta_pred[47]",1.80699928869355,0.0025397694804349,0.263485215870124,1.29817711574146,1.62842838166992,1.80491394338086,1.98402767034648,2.32489097231629,10762.7661406944,0.999901236781922
"theta_pred[48]",1.80344914091753,0.00257253368819463,0.266746467526895,1.28820603590493,1.62330508118203,1.80062340993636,1.98162172973307,2.32871538398813,10751.6523274107,0.999891957041376
"theta_pred[49]",1.79989899314152,0.00260650868270963,0.270073086554915,1.27645434504645,1.61724602440516,1.79705888389121,1.98036007171494,2.33204754468041,10736.0435304961,0.999883142852529
"theta_pred[50]",1.79634884536551,0.00264164775452193,0.273462687421505,1.26715772284524,1.6111880076309,1.79357280842972,1.9791514872397,2.33472194456541,10716.3364679219,0.99987478085264
"theta_pred[51]",1.79279869758949,0.00267790508552805,0.276912957316115,1.25557969932978,1.60608947297673,1.79032583580772,1.97757596760261,2.33798410053366,10692.9169920134,0.999866856942376
"theta_pred[52]",1.78924854981348,0.00271523588399437,0.280421656857298,1.24718403435938,1.59951289119896,1.78710377076309,1.97726381437606,2.34365027977081,10666.1570217892,0.999859356473567
"theta_pred[53]",1.78569840203747,0.00275359649537988,0.28398662033078,1.23913836666407,1.59401774514965,1.78348134557502,1.97615565901455,2.34749412411271,10636.4121662913,0.99985226441659
"theta_pred[54]",1.78214825426146,0.00279294449085093,0.287605755516952,1.22942737219299,1.58750803988808,1.78016997629788,1.97364131241572,2.34966989698322,10604.0199734444,0.999845565508267
"theta_pred[55]",1.77859810648544,0.00283323873548653,0.29127704316222,1.21746101597544,1.58100259571194,1.77678561301292,1.97211098802661,2.35462520065222,10569.2987333802,0.999839244381333
"theta_pred[56]",1.77504795870943,0.00287443943821383,0.294998536144582,1.20655682794033,1.5756044652151,1.77296133400962,1.97087276628788,2.35830560489965,10532.5467634162,0.99983328567671
"theta_pred[57]",1.77149781093342,0.00291650818549828,0.298768358379595,1.19499062690746,1.57032092590783,1.7693303096345,1.96913694962416,2.36198473639092,10494.0421031212,0.999827674139864
"theta_pred[58]",1.7679476631574,0.00295940796075163,0.302584703508787,1.18538295170354,1.56443206235116,1.76598814233392,1.96740335127039,2.36610916154577,10454.0425513533,0.999822394702599
"theta_pred[59]",1.76439751538139,0.00300310315132721,0.306445833408508,1.17423759748481,1.55748160588975,1.76271276743378,1.96591984826267,2.37193121463251,10412.7859821298,0.999817432551607
"theta_pred[60]",1.76084736760538,0.00304755954485383,0.310350076553301,1.1623358216626,1.55083112263186,1.75872214536092,1.96544178364535,2.37581413875161,10370.4908820944,0.999812773185094
"theta_pred[61]",1.75729721982937,0.00309274431652714,0.314295826264232,1.1527061891484,1.54505596984339,1.75636032746964,1.96372051826758,2.38113367623878,10327.3570587261,0.99980840245874
"theta_pred[62]",1.75374707205335,0.00313862600883648,0.318281538869071,1.14145154808186,1.53863600202671,1.75150522934933,1.96299467494217,2.38589543103233,10283.566474914,0.999804306622183
"theta_pred[63]",1.75019692427734,0.00318517450506156,0.32230573179806,1.13018587988445,1.53217502696357,1.74826247525483,1.96259169125679,2.39075936582602,10239.2841718346,0.999800472347147
"theta_pred[64]",1.74664677650133,0.00323236099773251,0.326366981635969,1.11846786927328,1.52507331428925,1.74378587515444,1.96069160230296,2.39394852802282,10194.6592480307,0.99979688674826
"theta_pred[65]",1.74309662872531,0.00328015795310911,0.330463922148446,1.10625398248279,1.51813320861772,1.74039083131074,1.96057139668234,2.39718462531682,10149.8258680768,0.999793537397518
"theta_pred[66]",1.7395464809493,0.00332853907260689,0.334595242298163,1.0956025592818,1.51174027517538,1.73701638650986,1.95967753953202,2.40007816999512,10104.9042791571,0.999790412333252
"theta_pred[67]",1.73599633317329,0.00337747925197601,0.338759684264037,1.08295534259707,1.50526961922143,1.73339798851956,1.95918477112341,2.40533025350235,10060.0018182579,0.999787500064407
"theta_pred[68]",1.73244618539727,0.00342695453892858,0.342956041474771,1.06961870948155,1.4984582443607,1.72965866837911,1.95847730687762,2.41192030732656,10015.2138964842,0.999784789570832
"theta_pred[69]",1.72889603762126,0.00347694208980838,0.347183156666177,1.05850219102696,1.49141282181765,1.72597236390747,1.95745729689284,2.41612033402135,9970.62495027116,0.999782270300207
"theta_pred[70]",1.72534588984525,0.00352742012580644,0.351439919970126,1.04680097702803,1.48517749791854,1.7226473439067,1.95668676370006,2.42003271809134,9926.30935202661,0.99977993216219
"theta_pred[71]",1.72179574206924,0.00357836788914395,0.355725267041571,1.03364429059792,1.4794270236281,1.71870194849129,1.95631604439197,2.42296953525783,9882.3322750375,0.999777765520262
"theta_pred[72]",1.71824559429322,0.00362976559957239,0.360038177228827,1.02119105300802,1.47258846718537,1.71507266274539,1.95659803496355,2.42812763206903,9838.75050936646,0.999775761181712
